TIME,REF_SPEED,SPEED
0.049,300.0,0.0
0.101,300.0,84.0
0.152,300.0,156.0
0.203,300.0,204.0
0.256,300.0,240.0
0.307,300.0,300.0
0.359,300.0,348.0
0.41,300.0,360.0
0.462,300.0,360.0
0.514,300.0,372.0
0.565,300.0,372.0
0.617,300.0,336.0
0.668,300.0,324.0
0.72,300.0,324.0
0.772,300.0,312.0
0.823,300.0,300.0
0.875,300.0,288.0
0.926,300.0,312.0
0.978,300.0,288.0
1.03,300.0,300.0
1.082,300.0,300.0
1.133,300.0,312.0
1.185,300.0,288.0
1.236,300.0,276.0
1.289,300.0,300.0
1.34,300.0,300.0
1.391,300.0,300.0
1.443,300.0,288.0
1.495,300.0,312.0
1.547,300.0,312.0
1.598,300.0,300.0
1.65,300.0,300.0
1.701,300.0,300.0
1.754,300.0,312.0
1.805,300.0,300.0
1.857,300.0,300.0
1.908,300.0,312.0
1.96,300.0,312.0
2.012,300.0,288.0
2.063,300.0,276.0
2.115,300.0,300.0
2.166,300.0,300.0
2.219,300.0,300.0
2.27,300.0,300.0
2.322,300.0,300.0
2.373,300.0,312.0
2.425,300.0,300.0
2.477,300.0,300.0
2.529,300.0,300.0
2.58,300.0,324.0
2.632,300.0,288.0
2.683,300.0,276.0
2.736,300.0,288.0
2.787,300.0,312.0
2.838,300.0,276.0
2.89,300.0,276.0
2.941,300.0,288.0
2.994,300.0,288.0
3.045,300.0,288.0
3.097,300.0,288.0
3.148,300.0,288.0
3.201,300.0,324.0
3.252,300.0,312.0
3.304,300.0,312.0
3.355,300.0,312.0
3.407,300.0,312.0
3.459,300.0,288.0
3.511,300.0,276.0
3.562,300.0,288.0
3.613,300.0,312.0
3.665,300.0,312.0
3.717,300.0,300.0
3.769,300.0,312.0
3.82,300.0,312.0
3.872,300.0,288.0
3.923,300.0,276.0
3.976,300.0,288.0
4.027,300.0,300.0
4.079,300.0,312.0
4.13,300.0,312.0
4.183,300.0,300.0
4.234,300.0,312.0
4.286,300.0,300.0
4.337,300.0,276.0
4.389,300.0,288.0
4.441,300.0,312.0
4.492,300.0,312.0
4.544,300.0,300.0
4.595,300.0,312.0
4.647,300.0,300.0
4.699,300.0,312.0
4.751,300.0,288.0
4.802,300.0,300.0
4.854,300.0,312.0
4.905,300.0,300.0
4.958,300.0,288.0
5.009,300.0,300.0
5.061,300.0,312.0
5.112,300.0,300.0
5.165,300.0,288.0
5.216,300.0,312.0
5.267,300.0,300.0
5.319,300.0,300.0
5.37,300.0,300.0
5.423,300.0,300.0
5.474,300.0,312.0
5.526,300.0,300.0
5.577,300.0,288.0
5.629,300.0,300.0
5.681,300.0,312.0
5.733,300.0,300.0
5.784,300.0,300.0
5.836,300.0,300.0
5.888,300.0,312.0
5.939,300.0,288.0
5.991,300.0,276.0
6.042,300.0,288.0
6.094,300.0,288.0
6.146,300.0,300.0
6.198,300.0,288.0
6.249,300.0,300.0
6.301,300.0,300.0
6.352,300.0,300.0
6.405,300.0,300.0
6.456,300.0,300.0
6.508,300.0,300.0
6.559,300.0,300.0
6.61,300.0,300.0
6.663,300.0,300.0
6.714,300.0,300.0
6.766,300.0,300.0
6.817,300.0,300.0
6.87,300.0,300.0
6.921,300.0,312.0
6.973,300.0,300.0
7.024,300.0,288.0
7.076,300.0,300.0
7.128,300.0,312.0
7.18,300.0,300.0
7.231,300.0,288.0
