TIME,REF_SPEED,SPEED
99.0,0.0,0.0
200.0,0.0,0.0
302.0,0.0,0.0
402.0,0.0,0.0
503.0,0.0,0.0
605.0,0.0,0.0
706.0,0.0,0.0
806.0,0.0,0.0
908.0,0.0,0.0
1009.0,0.0,0.0
1111.0,0.0,0.0
1212.0,0.0,0.0
1312.0,0.0,0.0
1414.0,5.0,0.0
1515.0,5.0,0.0
1616.0,5.0,0.0
1718.0,5.0,0.0
1818.0,5.0,0.0
1920.0,5.0,0.0
2021.0,5.0,0.0
2122.0,5.0,0.0
2224.0,5.0,0.0
2325.0,5.0,0.0
2425.0,5.0,0.0
2527.0,5.0,0.0
2628.0,5.0,0.0
2729.0,5.0,0.0
2831.0,5.0,0.0
2931.0,5.0,0.0
3033.0,5.0,0.0
3134.0,5.0,0.0
3235.0,5.0,0.0
3337.0,5.0,0.0
3438.0,5.0,0.0
3538.0,5.0,0.0
3640.0,5.0,0.0
3741.0,5.0,0.0
3843.0,5.0,0.0
3944.0,5.0,0.0
4044.0,5.0,0.0
4146.0,5.0,0.0
4247.0,5.0,0.0
4348.0,5.0,0.0
4450.0,10.0,0.0
4551.0,10.0,0.0
4652.0,10.0,0.0
4753.0,10.0,0.0
4854.0,10.0,0.0
4956.0,10.0,0.0
5057.0,10.0,0.0
5158.0,10.0,0.0
5260.0,10.0,0.0
5360.0,10.0,0.0
5462.0,10.0,0.0
5563.0,10.0,0.0
5664.0,10.0,0.0
5766.0,10.0,0.0
5867.0,10.0,0.0
5968.0,10.0,0.0
6069.0,10.0,0.0
6170.0,10.0,0.0
6272.0,10.0,0.0
6373.0,10.0,0.0
6474.0,10.0,0.0
6576.0,10.0,0.0
6677.0,10.0,0.0
6777.0,10.0,0.0
6879.0,10.0,0.0
6980.0,10.0,0.0
7081.0,10.0,0.0
7183.0,10.0,0.0
7284.0,10.0,0.0
7386.0,10.0,0.0
7486.0,15.0,0.0
7587.0,15.0,0.0
7689.0,15.0,0.0
7790.0,15.0,0.0
7891.0,15.0,0.0
7993.0,15.0,0.0
8094.0,15.0,0.0
8195.0,15.0,0.0
8296.0,15.0,0.0
8397.0,15.0,0.0
8499.0,15.0,0.0
8600.0,15.0,0.0
8701.0,15.0,0.0
8803.0,15.0,0.0
8903.0,15.0,0.0
9005.0,15.0,0.0
9106.0,15.0,0.0
9207.0,15.0,0.0
9309.0,15.0,0.0
9410.0,15.0,0.0
9511.0,15.0,0.0
9612.0,15.0,0.0
9713.0,15.0,0.0
9815.0,15.0,0.0
9916.0,15.0,0.0
10017.0,15.0,0.0
10119.0,15.0,0.0
10220.0,15.0,0.0
10321.0,15.0,0.0
10422.0,20.0,0.0
10523.0,20.0,0.0
10625.0,20.0,0.0
10726.0,20.0,0.0
10827.0,20.0,0.0
10929.0,20.0,0.0
11030.0,20.0,0.0
11131.0,20.0,0.0
11233.0,20.0,0.0
11334.0,20.0,0.0
11436.0,20.0,0.0
11536.0,20.0,0.0
11637.0,20.0,0.0
11739.0,20.0,0.0
11840.0,20.0,0.0
11941.0,20.0,0.0
12043.0,20.0,0.0
12144.0,20.0,0.0
12246.0,20.0,0.0
12347.0,20.0,6.0
12448.0,20.0,0.0
12549.0,20.0,0.0
12650.0,20.0,0.0
12751.0,20.0,0.0
12853.0,20.0,0.0
12954.0,20.0,0.0
13056.0,20.0,0.0
13157.0,20.0,6.0
13258.0,20.0,0.0
13360.0,20.0,0.0
13461.0,25.0,0.0
13562.0,25.0,0.0
13663.0,25.0,0.0
13764.0,25.0,6.0
13865.0,25.0,0.0
13967.0,25.0,0.0
14068.0,25.0,0.0
14170.0,25.0,0.0
14271.0,25.0,0.0
14372.0,25.0,0.0
14474.0,25.0,0.0
14575.0,25.0,0.0
14676.0,25.0,0.0
14777.0,25.0,0.0
14878.0,25.0,0.0
14980.0,25.0,0.0
15081.0,25.0,0.0
15182.0,25.0,6.0
15284.0,25.0,0.0
15385.0,25.0,0.0
15486.0,25.0,0.0
15588.0,25.0,0.0
15689.0,25.0,0.0
15790.0,25.0,0.0
15891.0,25.0,0.0
15992.0,25.0,0.0
16094.0,25.0,0.0
16195.0,25.0,0.0
16296.0,25.0,0.0
16398.0,25.0,0.0
16499.0,30.0,0.0
16601.0,30.0,0.0
16702.0,30.0,6.0
16803.0,30.0,0.0
16904.0,30.0,6.0
17005.0,30.0,6.0
17106.0,30.0,0.0
17208.0,30.0,6.0
17309.0,30.0,0.0
17411.0,30.0,0.0
17512.0,30.0,6.0
17613.0,30.0,6.0
17715.0,30.0,0.0
17816.0,30.0,6.0
17917.0,30.0,12.0
18019.0,30.0,6.0
18120.0,30.0,0.0
18222.0,30.0,6.0
18323.0,30.0,12.0
18424.0,30.0,6.0
18525.0,30.0,0.0
18626.0,30.0,0.0
18727.0,30.0,6.0
18829.0,30.0,6.0
18930.0,30.0,24.0
19032.0,30.0,6.0
19133.0,30.0,6.0
19234.0,30.0,6.0
19336.0,30.0,0.0
19437.0,35.0,6.0
19538.0,35.0,72.0
19640.0,35.0,246.0
19741.0,35.0,312.0
19843.0,35.0,366.0
19944.0,35.0,402.0
20045.0,35.0,420.0
20147.0,35.0,420.0
20248.0,35.0,426.0
20349.0,35.0,420.0
20451.0,35.0,426.0
20552.0,35.0,432.0
20654.0,35.0,426.0
20755.0,35.0,432.0
20856.0,35.0,432.0
20958.0,35.0,432.0
21059.0,35.0,432.0
21160.0,35.0,438.0
21262.0,35.0,438.0
21364.0,35.0,432.0
21466.0,35.0,438.0
21567.0,35.0,438.0
21668.0,35.0,432.0
21770.0,35.0,432.0
21871.0,35.0,432.0
21972.0,35.0,432.0
22074.0,35.0,432.0
22175.0,35.0,438.0
22277.0,35.0,432.0
22378.0,35.0,432.0
22479.0,40.0,438.0
22581.0,40.0,540.0
22682.0,40.0,666.0
22784.0,40.0,726.0
22885.0,40.0,750.0
22986.0,40.0,768.0
23088.0,40.0,774.0
23189.0,40.0,780.0
23290.0,40.0,780.0
23392.0,40.0,774.0
23493.0,40.0,780.0
23595.0,40.0,774.0
23697.0,40.0,780.0
23798.0,40.0,780.0
23900.0,40.0,774.0
24001.0,40.0,774.0
24102.0,40.0,768.0
24204.0,40.0,774.0
24305.0,40.0,768.0
24407.0,40.0,774.0
24508.0,40.0,768.0
24609.0,40.0,774.0
24711.0,40.0,774.0
24812.0,40.0,780.0
24913.0,40.0,774.0
25015.0,40.0,774.0
25116.0,40.0,774.0
25218.0,40.0,774.0
25319.0,40.0,774.0
25420.0,40.0,780.0
25522.0,45.0,780.0
25623.0,45.0,870.0
25724.0,45.0,1002.0
25827.0,45.0,1062.0
25928.0,45.0,1092.0
26030.0,45.0,1116.0
26131.0,45.0,1122.0
26232.0,45.0,1128.0
26334.0,45.0,1128.0
26435.0,45.0,1122.0
26536.0,45.0,1122.0
26638.0,45.0,1122.0
26739.0,45.0,1122.0
26842.0,45.0,1122.0
26943.0,45.0,1128.0
27044.0,45.0,1122.0
27146.0,45.0,1128.0
27247.0,45.0,1128.0
27348.0,45.0,1122.0
27450.0,45.0,1128.0
27551.0,45.0,1128.0
27653.0,45.0,1122.0
27755.0,45.0,1122.0
27856.0,45.0,1128.0
27958.0,45.0,1122.0
28059.0,45.0,1122.0
28161.0,45.0,1128.0
28262.0,45.0,1128.0
28363.0,45.0,1134.0
28465.0,50.0,1134.0
28566.0,50.0,1218.0
28667.0,50.0,1332.0
28770.0,50.0,1398.0
28871.0,50.0,1428.0
28973.0,50.0,1440.0
29074.0,50.0,1452.0
29175.0,50.0,1452.0
29277.0,50.0,1458.0
29378.0,50.0,1458.0
29479.0,50.0,1458.0
29581.0,50.0,1458.0
29683.0,50.0,1458.0
29785.0,50.0,1458.0
29886.0,50.0,1458.0
29987.0,50.0,1458.0
30089.0,50.0,1458.0
30190.0,50.0,1458.0
30291.0,50.0,1464.0
30393.0,50.0,1458.0
30494.0,50.0,1464.0
30597.0,50.0,1464.0
30698.0,50.0,1464.0
30799.0,50.0,1464.0
30901.0,50.0,1464.0
31002.0,50.0,1464.0
31104.0,50.0,1464.0
31205.0,50.0,1464.0
31306.0,50.0,1464.0
31408.0,50.0,1464.0
31510.0,55.0,1470.0
31611.0,55.0,1554.0
31713.0,55.0,1656.0
31814.0,55.0,1710.0
31916.0,55.0,1734.0
32017.0,55.0,1746.0
32118.0,55.0,1758.0
32220.0,55.0,1758.0
32321.0,55.0,1764.0
32423.0,55.0,1758.0
32525.0,55.0,1758.0
32626.0,55.0,1758.0
32728.0,55.0,1758.0
32829.0,55.0,1758.0
32930.0,55.0,1758.0
33032.0,55.0,1758.0
33133.0,55.0,1758.0
33234.0,55.0,1758.0
33337.0,55.0,1758.0
33438.0,55.0,1758.0
33540.0,55.0,1764.0
33641.0,55.0,1764.0
33742.0,55.0,1764.0
33844.0,55.0,1764.0
33945.0,55.0,1758.0
34046.0,55.0,1764.0
34149.0,55.0,1764.0
34250.0,55.0,1764.0
34352.0,55.0,1770.0
34453.0,55.0,1764.0
34554.0,60.0,1770.0
34656.0,60.0,1842.0
34757.0,60.0,1938.0
34859.0,60.0,1980.0
34960.0,60.0,1998.0
35062.0,60.0,2010.0
35164.0,60.0,2010.0
35265.0,60.0,2016.0
35366.0,60.0,2016.0
35468.0,60.0,2016.0
35569.0,60.0,2028.0
35671.0,60.0,2016.0
35772.0,60.0,2016.0
35874.0,60.0,2022.0
35976.0,60.0,2016.0
