CMD,SPEED
0.0,0
5.0,0
10.0,0
15.0,0
20.0,0
25.0,0
30.0,5
35.0,392
40.0,750
45.0,1097
50.0,1433
55.0,1738
60.0,1998
65.0,2221
70.0,2411
75.0,2580
80.0,2724
85.0,2852
90.0,2979
95.0,2985
100.0,3156
105.0,3252
110.0,3327
115.0,3396
120.0,3459
125.0,3517
130.0,3568
135.0,3615
140.0,3660
145.0,3700
150.0,3734
155.0,3767
160.0,3797
165.0,3827
170.0,3854
175.0,3879
180.0,3902
185.0,3925
190.0,3944
195.0,3962
200.0,3983
205.0,3996
210.0,4012
215.0,4027
220.0,4040
225.0,4054
230.0,4070
235.0,4084
240.0,4095
245.0,4109
250.0,4121
