TIME,REF_SPEED,SPEED
49.0,300.0,0.0
101.0,300.0,36.0
152.0,300.0,72.0
203.0,300.0,132.0
256.0,300.0,216.0
307.0,300.0,240.0
359.0,300.0,276.0
410.0,300.0,288.0
461.0,300.0,300.0
514.0,300.0,324.0
565.0,300.0,336.0
617.0,300.0,336.0
668.0,300.0,348.0
719.0,300.0,348.0
772.0,300.0,336.0
823.0,300.0,336.0
875.0,300.0,348.0
926.0,300.0,348.0
977.0,300.0,336.0
1030.0,300.0,348.0
1081.0,300.0,348.0
1133.0,300.0,336.0
1184.0,300.0,324.0
1236.0,300.0,360.0
1288.0,300.0,348.0
1340.0,300.0,336.0
1391.0,300.0,348.0
1443.0,300.0,360.0
1495.0,300.0,348.0
1546.0,300.0,336.0
1598.0,300.0,348.0
1649.0,300.0,348.0
1701.0,300.0,348.0
1753.0,300.0,348.0
1805.0,300.0,360.0
1856.0,300.0,348.0
1908.0,300.0,348.0
1959.0,300.0,348.0
2012.0,300.0,348.0
2063.0,300.0,348.0
2114.0,300.0,348.0
2166.0,300.0,360.0
2217.0,300.0,336.0
2270.0,300.0,348.0
2321.0,300.0,360.0
2373.0,300.0,348.0
2424.0,300.0,348.0
2477.0,300.0,348.0
2528.0,300.0,360.0
2580.0,300.0,348.0
2631.0,300.0,348.0
2682.0,300.0,348.0
2735.0,300.0,360.0
2786.0,300.0,336.0
2838.0,300.0,360.0
2889.0,300.0,360.0
2941.0,300.0,348.0
2993.0,300.0,348.0
3045.0,300.0,360.0
3096.0,300.0,348.0
3148.0,300.0,348.0
3200.0,300.0,360.0
3251.0,300.0,360.0
3303.0,300.0,336.0
3354.0,300.0,360.0
3406.0,300.0,360.0
3458.0,300.0,348.0
3510.0,300.0,360.0
3561.0,300.0,348.0
3613.0,300.0,360.0
3664.0,300.0,336.0
3717.0,300.0,360.0
3768.0,300.0,348.0
3819.0,300.0,348.0
3871.0,300.0,348.0
3922.0,300.0,348.0
3975.0,300.0,348.0
4026.0,300.0,336.0
4078.0,300.0,360.0
4129.0,300.0,360.0
4182.0,300.0,336.0
4233.0,300.0,348.0
4285.0,300.0,360.0
4336.0,300.0,348.0
4388.0,300.0,348.0
4440.0,300.0,348.0
4491.0,300.0,348.0
4543.0,300.0,348.0
4594.0,300.0,348.0
4646.0,300.0,360.0
4698.0,300.0,336.0
4750.0,300.0,348.0
4801.0,300.0,360.0
4853.0,300.0,348.0
4904.0,300.0,336.0
4957.0,300.0,348.0
5008.0,300.0,348.0
5059.0,300.0,348.0
5111.0,300.0,348.0
5163.0,300.0,348.0
5215.0,300.0,348.0
5266.0,300.0,336.0
